POH,LXP,Paymaster,id,minitoolkitRank,trustlabsRank,address,balance,volume,fee,interactionCount,count_contract,bridge_count,bridge_volume_usd,nft_mint,days,weeks,months,firstTransactionDate,lastTransactionDate,zkliteInteractions,zkliteLastActivity
,,False,1,-,789697,0xf5c9d989cffa66c26d1bfd0bf0a182f93e3510e4,0.169221589107638,4912.609596577675,10.813544324844173,26,12,0,0,2,7,5,4,123 day,3 day,-,-
,,False,2,-,1121815,0xe0200bdbb654aa691cab29a03a4cf81b41e843fe,9.845427138051415,452.43732816925103,9.059190421159688,12,8,0,0,0,7,6,4,120 day,21 day,-,-
,,False,3,-,901813,0x6d2dd079238c3838e9b08885f470d35008d73938,84.08578894680305,6916.66751256015,7.177969176595905,16,6,0,0,0,6,5,3,252 day,29 day,-,-
,,False,4,-,1324653,0x71612015772bA710414B7E90D71eCDd894d9729f,45.67216667124845,2162.9276240000295,5.479539289106085,8,6,0,0,0,4,3,2,68 day,30 day,-,-
,,False,5,-,1154957,0x999932D5866E0152EA5333ab72b7256965Bcb1c8,40.02286437748325,825.9458246222804,6.681647640958808,10,7,0,0,1,5,5,3,68 day,13 day,-,-
,,False,6,-,895113,0x7e25cb8adf2ceff43eb2096da220f452f47e7ff4,3.9904252793025505,1892.0472800766838,8.138014381137287,17,9,0,0,3,4,4,3,122 day,23 day,-,-
,,False,7,-,825118,0xbddCaDEB38c439EC6788BE4fd4edC25DA5eF5d2b,26.549137473984324,511.63863880002975,15.954673969763872,34,12,0,0,14,5,5,3,64 day,19 hour,-,-
,,False,8,-,1463453,0xBAD01a04Cc9Ed7A4D8AF51BcaA7E9aCF26dc673B,6.982160015510568,452.2404330000294,5.304261648322658,11,10,0,0,0,3,2,2,63 day,1 day,-,-
,,False,9,-,1892819,0x252613Ecf3232dEe2c7d366EC404A5922619Ad8E,6.598281265603797,27.690968288754974,5.072913581203007,11,9,0,0,2,3,3,2,63 day,2 day,-,-
,,False,10,-,1621641,0x45e092142CE651d42778f0008D1D03e41194CD6f,0.07669055771788946,104.83057608875504,9.541983708753726,17,15,0,0,4,6,4,2,62 day,1 day,-,-
,,False,11,-,711600,0xdbAeE7B46D722c196Db44fAAA355874E935F83Db,3.442029297585567,737.1176029254453,11.241091861964323,27,17,0,0,2,9,7,3,59 day,18 hour,-,-
,,False,12,-,994577,0x62439c30b3aa470C798f4b1fF7F1c6057541a5C0,0.13941953652104136,558.5120318896804,10.402746118632926,19,14,0,0,3,9,6,3,59 day,16 hour,-,-
,,False,13,-,2148040,0x51Bd9cc40E397E43CbB35ADA738333785d482BF9,2.2257636452200344,197.6406528694145,0.5534808189747754,5,5,0,0,0,2,2,2,57 day,14 hour,-,-
,,False,14,-,2369546,0x6c00A1C234Cd8c9142B3FdF8375543A9809B3f12,5.337436803066537,130.23540030000007,3.9737695757585247,8,6,0,0,1,3,2,2,55 day,24 day,-,-
,,False,15,-,1242961,0xC1F79Ed1dAD274885A617AE0CeeC172C7A1D931d,2.8937411044881554,661.9754019795279,10.56680300131874,17,11,0,0,2,4,3,2,36 day,14 hour,-,-
,,False,16,-,1249479,0xF35dA5E504a6463a2d632FAdDeA98Ad6017daDA8,1.282562033623494,578.2708090887845,4.741002909312952,11,9,0,0,1,5,5,3,55 day,14 hour,-,-
,,False,17,-,1283325,0x5365E7ffAe830fEc28792d81299dB4bddcB84ff4,3.504764041414133,375.6800840000296,4.463871816019665,11,9,0,0,0,5,5,3,56 day,14 hour,-,-
,,False,18,-,1518424,0x26a9455CdA31332EF609B204648543a81266ae0C,1.5053864685861256,178.80719457605596,6.3000211031379045,10,10,0,0,0,4,4,2,56 day,15 hour,-,-
,,False,19,-,3146842,0xE27DD4D0a29273F48AA4691f81b29F996a9CEd3b,3.590097853838001,61.36542100002949,0.22827605910653545,3,3,0,0,0,1,1,1,50 day,50 day,-,-
,,False,20,-,2346502,0xa70455fA71CC6f1eba5F6C3fF97d98E76bBA6c0b,7.076463130181623,116.37618408002945,0.4599267702674909,5,5,0,0,0,2,2,2,50 day,17 day,-,-
,,False,21,-,3019613,0x55999E17fC84e266eB185158a897C009ca723329,5.829082659935011,124.19579900000005,0.5353416405435025,3,2,0,0,0,2,2,2,50 day,36 day,-,-
,,False,22,-,3553330,0xF9A0806cff4b84D161DFbf4aE7Bb9b9110D50fd6,3.150257343468468,68.26699620000002,0.41829112249955824,3,2,0,0,0,1,1,1,50 day,16 day,-,-
,,False,23,-,3459846,0x35607fE71F1F73ab21C23a381502fd4aE97Aea7a,29.864024163329784,100.26816800000009,0.22183830810929422,2,2,0,0,0,1,1,1,37 day,21 day,-,-
,,False,24,-,3561477,0xe17ef730812d6863E3519081D748DC830Af7Aeb5,104.60604611098138,110.19732100000004,0.4671808499757127,3,2,0,0,0,1,1,1,51 day,22 day,-,-
